Respondent,State,Internet_use,Age,Weight
134854,1,1,68,0.3851801
135026,31,1,59,0.3858362
135049,27,1,70,0.4372871
135088,6,1,70,0.3708016
135180,45,1,99,0.3535622
135224,55,1,62,2.2111616
135238,48,1,53,0.899502
135294,26,1,56,0.6606573
135323,13,1,32,1.6332578
135353,50,1,56,0.5457481
135417,17,2,84,1.5549008
135540,17,1,68,1.5173367
135681,42,1,24,1.0519236
135704,34,1,32,2.4596811
135749,29,2,85,1.3275853
135794,8,1,48,1.2807902
135838,51,2,88,1.5373769
135854,42,1,24,1.2112544
136028,13,1,43,0.9371339
136147,8,1,99,0.337806
136261,37,1,26,1.4066775
136335,53,1,53,0.7319878
136412,42,1,47,0.5880868
136667,47,1,42,0.9371339
136726,18,1,31,1.4655014
136838,17,1,65,0.3480488
136920,17,1,19,1.0446425
136979,34,1,52,1.1509334
137185,6,1,18,0.9826179
137267,47,1,58,1.1941272
137271,37,1,36,0.8770771
137284,12,1,73,0.7116409
137286,1,1,66,0.3110796
137309,17,1,47,1.1237448
137367,2,1,30,0.94652
137519,8,1,50,1.3305066
137857,37,1,30,2.4002594
137871,36,1,30,1.5021373
138084,20,1,52,1.4946008
138233,38,1,67,0.3331668
138292,4,1,50,0.7027417
138429,5,1,18,0.8639472
138741,51,1,75,0.5584039
138742,26,1,68,1.0361752
138873,39,1,70,1.2477706
138969,8,1,27,1.1704763
138998,1,1,73,0.3110796
139181,8,1,50,0.875898
139279,41,1,28,0.7038354
139479,19,1,42,0.7358731
139505,48,2,72,0.9026836
139537,6,1,60,0.3849328
139562,34,1,24,1.4196724
139609,12,1,69,0.3478902
139664,31,1,53,1.2664454
139887,26,1,35,0.7358731
139892,4,1,28,2.4596811
139919,15,1,75,1.9529842
139925,42,1,75,2.4596811
140104,42,1,22,2.4596811
140328,42,1,46,1.0976906
140404,48,1,34,0.5734829
140502,13,1,44,1.1232398
140504,42,1,99,0.3980321
140519,45,1,49,0.6867591
140588,55,1,42,0.7040991
140700,45,1,34,1.6197416
140741,48,1,30,0.6575208
140759,17,1,69,0.5680235
140874,45,1,49,0.9069148
141064,26,1,56,1.0419804
141316,6,1,28,1.1864743
141321,6,1,57,0.6779766
141443,48,1,60,0.7892454
141477,49,1,38,0.8392736
141607,22,1,35,1.4869113
141621,28,1,33,2.0006659
141656,4,1,62,0.3617905
141998,47,1,67,0.3725514
142055,26,1,43,1.2945307
142063,18,2,65,0.4637481
142072,6,1,24,1.1009676
142173,48,2,78,0.8159243
142255,36,1,75,0.4529961
142285,45,1,18,0.912881
142302,36,1,20,1.1084326
142311,27,1,42,1.4939814
142358,48,1,65,0.388097
142403,13,1,21,1.5406446
142839,12,1,56,0.5187633
142951,37,1,71,0.3110796
142986,18,1,40,0.9210159
143059,48,1,30,0.6958622
143557,25,1,35,0.9233458
143569,17,1,45,0.735855
143587,27,1,73,1.0443519
143622,6,1,28,2.4596811
143814,6,1,68,2.4596811
143941,27,1,20,0.9072282
143963,48,1,39,0.972785
144051,21,1,48,1.9230155
144084,45,1,33,2.4596811
144112,22,2,56,1.0068616
144242,45,1,54,0.9814993
144347,36,1,30,2.4596811
144393,39,1,24,0.5554575
144545,2,1,38,0.6695377
144583,26,1,40,1.8688037
144802,12,1,64,0.3110796
144856,22,1,99,0.7950117
144864,48,1,79,0.8194304
144952,48,1,24,1.3888063
144963,8,1,65,0.3788762
145106,5,1,63,0.9825373
145172,29,1,21,1.5384894
145267,55,1,68,0.3110796
145352,36,1,81,0.592891
145355,36,1,20,1.1383556
145449,45,1,50,0.4349177
145497,6,1,23,1.3308652
145505,37,1,22,1.4571063
145549,48,1,37,0.8784198
145607,40,1,73,0.9250309
145636,12,1,81,0.9705031
145875,23,1,22,2.0265788
145999,48,1,35,1.5986896
146104,6,1,19,0.9235426
146123,12,1,59,0.3944246
146191,34,1,34,0.6911491
146202,24,1,22,1.8011954
146203,26,1,40,0.847333
146257,45,1,51,0.8523909
146304,27,1,60,1.2794943
146339,8,1,41,0.8177461
146345,20,1,24,1.3909993
146421,42,1,58,1.1461023
146492,20,1,65,0.3331668
146608,31,1,47,0.9399602
146796,27,1,48,0.739017
146806,55,1,44,1.1622695
146846,41,1,50,0.7792396
146972,17,1,25,0.7075538
147130,19,1,82,1.5549008
147206,27,1,26,2.4596811
147341,20,1,77,0.3331668
147379,17,1,24,2.1260427
147420,53,1,99,0.6379725
147453,39,2,59,1.2174475
147456,26,1,55,0.4836503
147484,48,1,22,1.1473898
147823,39,1,27,2.4596811
148002,12,1,48,0.7958824
148030,48,1,44,1.2336587
148233,24,1,68,1.6061421
148240,26,1,19,1.2835505
148258,12,1,18,2.4596811
148298,27,1,49,0.7914879
148378,42,2,85,1.2188408
148408,37,1,20,1.9279746
148785,5,1,73,0.3110796
148796,8,1,57,0.5521231
148881,42,9,60,0.3716449
149007,2,1,65,0.3110796
149079,34,1,31,0.6028131
149129,48,1,59,0.3520495
149132,55,1,27,1.0963994
149186,37,1,19,2.2939272
149287,5,1,42,0.8744265
149316,17,2,69,0.8780108
149339,53,1,36,0.6533628
149519,6,1,29,1.5409372
149520,49,1,40,1.8222053
149550,42,1,30,1.2822161
149590,39,1,51,1.0516658
149614,34,1,25,1.3424853
149627,37,1,40,1.2833995
149715,6,1,19,0.8254459
149753,24,1,50,1.3724709
149864,56,1,38,0.9169281
150110,25,1,50,1.0569636
150333,8,1,27,1.0635558
150338,12,1,34,1.6426384
150528,18,1,30,0.6171213
150594,53,1,42,1.0018378
150799,9,1,84,0.3809014
150929,46,1,48,1.0559104
150994,39,1,40,1.4902209
151046,21,1,40,0.6838376
151200,13,1,99,0.7950117
151272,17,1,43,1.7979002
151284,48,1,31,2.0006659
151302,8,1,60,0.337806
151427,55,1,31,2.4596811
151465,17,1,75,0.6717556
151478,35,1,70,0.5062109
151566,45,1,36,0.8770771
151599,1,1,44,0.6838376
151639,48,1,52,1.4919072
151651,56,1,40,0.6695377
151840,6,1,65,0.3309646
151881,42,1,38,0.8270993
151942,51,1,32,1.2198292
152073,25,1,29,1.7133295
